Date,AAPL,MSFT,DIS,CMCSA,AMZN,HD,KO,JNJ,JPM,XOM
1997-05-19,-0.021737672882852888,0.06442873311578334,0.02936630480847091,-0.003802448019173399,-0.13252671705993246,0.023060852626584527,0.01869158878504673,-0.006224066390041472,0.016021362468535694,0.03010752688172036
1997-05-26,-0.014813832414904748,0.00915564598168861,-0.016516541519605465,0.06488555453000999,0.0,0.03483600113155805,0.005504587155963359,0.0020876826722338038,-0.006570262395440674,-0.01043841336116913
1997-06-02,0.0075182407158114195,0.0005040937854396965,-0.006106821665731732,0.046595191342220676,0.10417331837919086,0.03564356462568208,-0.010948905109489093,0.002083333333333437,0.062169271802145376,0.03375527426160341
1997-06-09,-0.055973063645636256,0.044836207786658644,0.026113587075643263,0.1849314833625153,-0.044026917564262136,0.03441682625485609,0.06088560885608851,0.10395010395010384,0.009962716487165846,0.04081632653061229
1997-06-16,-0.01580927003911814,0.0019286403085825299,-0.014970045529627996,-0.011560917222189548,-0.03618934056993406,0.022181125028692295,-0.006956521739130417,-0.007532956685499026,0.01233038050376134,-0.0039215686274509665
1997-06-23,-0.05622850098082066,-0.018286814244465877,-0.028115445949652096,-0.023391627871637843,-0.023891911410523936,-0.010849930578026412,-0.005253940455341555,-0.022770398481973486,-0.04872099933214458,-0.04822834645669294
1997-06-30,-0.0680809047463321,0.016176470588235237,-0.033620082581751864,0.04191617554574245,0.2832208028448635,0.010968942846424357,-0.0035211267605633756,-0.002912621359223322,0.057618435648687516,0.06928645294725966
1997-07-07,0.10958998397158926,0.0014471780028944004,-0.010517744192891532,-0.04597698971509989,0.19890554664550808,-0.026220608653521604,-0.013250883392226132,-0.017526777020447915,-0.011501284121265054,-0.044487427466150864
1997-07-14,0.14197328113793128,0.08285163776493265,-0.007358961087132299,0.06927705104861359,-0.05908380675814595,0.038997257817032116,-0.008057296329453845,-0.04558969276511393,-0.0006123325181981443,-0.021255060728744946
1997-07-21,-0.06306543318351177,-0.014234875444839812,0.041186119889250916,0.022535029303965226,0.033808565006009594,0.017426252647865237,0.012635379061371799,0.022845275181723856,0.03982846877154178,0.03929679420889354
1997-07-28,0.1807717722880655,0.01534296028880866,0.019778461843897643,-0.01101916309205031,0.08411238505739438,0.03689056517107203,-0.021390374331550777,-0.008121827411167515,0.05892748106552492,0.012935323383084674
1997-08-04,0.3973920249208285,-0.004444444444444473,-0.017067449161747184,0.04456815985473783,-0.0517242920814005,-0.013976974311021961,-0.0865209471766849,-0.028659160696008157,-0.04340567612687818,-0.025540275049115935
