iteration,loss,train_avg_utility,train_std_utility,train_avg_wealth,gradient_norm,gradient_sq_norm,eval_avg_utility,eval_avg_wealth
1.0,-325.1129930916735,-1.0337644033965496,0.28732606913549325,1.0377013786410831,9.999999383080523,99.99998766161083,,
2.0,-302.95578988418015,-0.9818650490081398,0.19963949424952226,1.0657911784987006,9.999999442282787,99.99998884565606,,
3.0,-295.5154777515552,-0.9497669017136317,0.26153787427603353,1.1360865188181863,9.99999927280907,99.99998545618192,,
4.0,-281.10777276709973,-0.9090899024512049,0.22142208660531174,1.1653306960142287,9.999999358782716,99.99998717565472,,
5.0,-315.2644606122179,-1.01166515338062,0.20741391553858593,1.0309016647426086,9.999999409072052,99.99998818144138,,
6.0,-308.5267542007032,-0.9895044439938988,0.19005736199294587,1.0495366375229551,9.999999397985267,99.99998795970569,,
7.0,-314.7317082873897,-1.008431851156736,0.2108282096610273,1.0366295344580423,9.999999287722426,99.99998575444903,,
8.0,-303.20676301949703,-0.9732276598951284,0.20674513982444134,1.0781024159339991,9.999999319664107,99.99998639328261,,
9.0,-291.7333081359519,-0.9299321112536224,0.19319405039766063,1.1189131594821338,9.999999410879463,99.9999882175896,,
10.0,-306.24515109106153,-0.9915339446463514,0.2181120647163084,1.0537233594440278,9.999999275601922,99.99998551203899,,
11.0,-315.64838109732403,-1.0305767809984667,0.23520348293895352,1.0212553764636756,9.999999403719631,99.99998807439297,,
12.0,-291.3415075741507,-0.9533350344567999,0.21187712569142675,1.0981544548165167,9.999999144151127,99.99998288302328,,
13.0,-299.69720463220483,-0.9673031275026232,0.18693816287111628,1.0770487360148426,9.999999315774435,99.99998631548918,,
14.0,-298.89609704339557,-0.974793405187274,0.17719707470480614,1.056560178122557,9.999999332565304,99.99998665130654,,
15.0,-301.81871374161625,-0.9962123740953257,0.25551483732649494,1.065105571981126,9.999999300646136,99.99998601292323,,
16.0,-306.26518806339055,-1.0147400160566462,0.3776891964862266,1.0651173802480538,9.999999397136735,99.99998794273505,,
17.0,-300.84616913170754,-1.004004341684083,0.30842363276584395,1.0893533271720115,9.999999531111845,99.99999062223714,,
18.0,-277.2844202956685,-0.924665242271991,0.1954494207627659,1.1305304636364246,9.999999315049227,99.999986300985,,
19.0,-296.003848412179,-0.9792655884340288,0.22848420233681813,1.0744002348094157,9.999999387188355,99.99998774376749,,
20.0,-278.24843681275206,-0.9242385473257195,0.22933987070693126,1.1413012556727493,9.99999929518187,99.99998590363792,,
21.0,-285.6891515777477,-0.9520384989628247,0.23191338130721742,1.1149862745517956,9.999999328284998,99.99998656570042,,
22.0,-292.5490599067707,-0.9833008041940954,0.2066900386677251,1.0586975913133723,9.999999253088413,99.99998506176883,,
23.0,-278.5682906667483,-0.935873283153563,0.19938617082570392,1.1225821774767126,9.999999358779831,99.99998717559703,,
24.0,-307.4573954278842,-1.0196398387267582,0.3289522077607042,1.0667337885733095,9.999999448181445,99.99998896362919,,
25.0,-287.36223902759275,-0.962706421695116,0.2066598020195514,1.0937854087443664,9.999999271117945,99.99998542235943,-0.8789503582843408,1.1945157878830983
