iteration,per_component_var_mean,estimator_variance_l2,grad_mean_norm,grad_norm_mean,grad_norm_std,snr,loss_mean,utility_mean,utility_std_mean,wealth_mean,repeats
25.0,0.00482563155798983,99.15920053146051,0.9169441469220934,9.99999935500174,1.3176054309331515e-07,0.008479158404548924,-297.4935542986522,-1.0038397637427472,0.5128771642069803,1.0927762981023361,100.0
50.0,0.004817548970029861,98.99311595772042,1.0034299765197334,9.99999938377492,1.7140624468014316e-07,0.010171128649071152,-278.304819292494,-1.023463800194939,0.8946811937097562,1.1297654567536837,100.0
100.0,0.004827654807029224,99.20077514295158,0.8817974982334295,9.998914051107363,0.007770015540499344,0.007838314033032864,-197.49486551813007,-0.869462233780348,0.2234233111233355,1.2317943871542516,100.0
150.0,0.004805714087998729,98.7499275943966,1.1180609140822186,9.999999390099727,9.308545559397318e-08,0.012658846827036042,-104.74941191230357,-0.8881062828058558,0.22602711841878012,1.2018430312092654,100.0
200.0,0.004800815476597126,98.64926877192744,1.162203968094046,9.999999341769028,9.958741253924586e-08,0.013692124435066457,-80.7303650010382,-0.861093019614447,0.22354820417261156,1.2441278364602533,100.0
250.0,0.004816628249500598,98.97419658716807,0.9378035678994244,9.992396769066344,0.07573830999872734,0.008885907259578742,45.96327472703478,-0.8871235896009947,0.2166138152635322,1.1988088052755759,100.0
300.0,0.004822525293480251,99.09537164156133,0.9436324203878221,9.999288160077397,0.0071122390103268976,0.00898570871733349,78.94334631549667,-0.8844575985040487,0.2129120965806932,1.1997531400183605,100.0
350.0,0.004792061457876918,98.46938734349636,1.2371757511016686,9.999999559130508,1.1751718736674651e-07,0.015543956151313152,195.50502644819636,-0.9077211811706902,0.3222953006062095,1.182025195253858,100.0
400.0,0.004834230075915754,99.33588666115031,0.8149268970430003,9.999999625433716,1.1249561605018964e-07,0.00668545749019685,325.629221250235,-0.9086724263437113,0.1818029684176506,1.147050627933989,100.0
450.0,0.004819580536896703,99.03486148758968,0.9824102709605219,9.999999571403912,1.032530467248945e-07,0.00974535558480757,199.45872306880955,-0.8956374110686276,0.15384044576589428,1.1553369810278435,100.0
500.0,0.004840353926257772,99.46172223247225,0.7336685072477154,9.999999585549958,1.1292887944836547e-07,0.0054118254384233535,247.1431860131483,-0.8614388371367632,0.19063564039531739,1.2237650247863967,100.0
