Date,AAPL,MSFT,DIS,CMCSA,AMZN,HD,KO,JNJ,JPM,XOM
2020-01-08,0.047890268862314844,0.028874241647972365,-0.003431709062956423,0.024482570033900197,-0.019623906859981277,0.01963203918293832,0.032258064516129004,0.010622214031624111,0.021489535354842104,-0.015507240760959662
2020-01-15,0.01244088121900111,0.026953648217960202,-0.011294761874086179,0.027590728246208895,0.012067767358970194,0.04550962479581666,0.02089282444545204,0.018768768221479437,-0.01412108552430158,-0.023410335095811696
2020-01-22,0.003537906596566609,-0.006246205922719628,-0.03615214913393938,-0.06892183226015869,-0.0204809728462102,0.00390643345795616,-0.002798668052066189,0.0015408033828367973,-0.01761183664576038,-0.04335602583291698
2020-01-29,0.0036513697415558877,0.08860140099396996,0.04596372649262004,0.005449593798975139,0.10598677250485133,0.0048747087431504355,0.03209966470676906,0.014046863568666357,0.00639738642570431,-0.07238979419516967
2020-02-05,0.00238350081072336,0.023984051972731457,-0.025703042427405287,0.011517666430459261,0.049339683103574616,0.028255316551695442,0.012746430966265265,0.002572555237116081,0.02003109504289524,0.009337961433964814
2020-02-12,-0.001908530332340952,0.015126833925406924,-0.013261436706862972,0.03036390264329314,0.002264271469094137,0.009518304326962879,-0.0010069033921358272,-0.01875127311344038,-0.01710145369819971,-0.010738439191972371
2020-02-19,-0.09692794177973163,-0.10233396806354855,-0.07869769294433981,-0.06457204579777132,-0.08485992361368144,-0.02689184837640335,-0.028724997808455388,-0.03010597768230716,-0.06915362205563247,-0.09485638282996378
2020-02-26,0.004304432136045255,-0.021181725841870724,-0.09158284787872006,-0.04007412683873357,-0.03231545937599034,-0.039767470921009074,-0.030439265493298673,-0.06263392976758331,-0.0736575550008578,-0.05350556245493365
2020-03-04,-0.013756431928567014,-0.021822360086100723,-0.04285099179510843,-0.05646720550100959,-0.008994259899700707,-0.00982717148886525,-0.042811299805325276,0.04461983343285292,-0.139021907177743,-0.15380115998030042
2020-03-11,-0.11382910262982293,-0.08917468933638018,-0.1608648883227345,-0.02250636931469563,-0.044391168031054695,-0.23066016066687056,-0.12076033471231629,-0.03565379182094863,-0.06891752753059899,-0.15203866614421457
2020-03-18,-0.023649433335065195,0.012076065533356939,0.04907520610703964,-0.09366824092788795,0.07315911903077854,0.06381019275513333,-0.1638405996658785,-0.1274617212057516,-0.056847287858530104,-0.037218220469181884
2020-03-25,0.030014534416578753,0.06316577192460926,-0.01549127833176589,-0.007505816073313021,0.004958536376848732,0.010773091598166529,0.12167298210979549,0.10026853957910054,0.018093389897087198,0.07138833781126142
2020-04-01,0.020213140608583924,0.03664953733584908,0.048033120734380486,0.0744618922502327,0.03173790870568505,0.029885846347897926,0.051073408396230535,0.04842515525261648,0.006775526142646537,0.0861206308305491
2020-04-08,0.10646415563718259,0.062450248406805686,0.04731332493677898,0.04277211995586372,0.13507653895231386,0.07738314734178942,0.05181681217770184,0.062190888256226096,0.05361871848055855,0.028855445641999822
2020-04-15,-0.0650757480235602,-0.03385140890805838,-0.0517777791848989,-0.07294913056369601,0.019620533754219904,-0.031664804829723114,-0.07236298514576167,0.024994822481651857,-0.0675392350601276,-0.034645326658736986
2020-04-22,0.038044459667034625,0.011857884325618295,0.05639544576600097,0.06636793616302472,-0.0060305814157657345,0.08484125527480169,0.02996916214942802,0.01142441740741651,0.07007296631020554,0.09790044496730954
2020-04-29,0.0681312797084388,0.06448381782977086,-0.04848885764308242,-0.05330883040637513,0.0016075244196469551,0.036667718368319946,-0.028669236295839284,-0.01248430806042844,-0.03452619250621969,-0.003113172911900719
2020-05-06,0.046545255468313895,0.009681345724613877,0.03463289218833321,-0.019417447227466078,0.016891054299511765,0.0323123676539645,-0.012775370298700905,-0.015785957259876637,-0.05402175239894702,-0.01583767276757253
2020-05-13,0.0055554123694923074,0.006136707082825543,0.09382178095873539,0.08090523070956923,0.0391946840023647,0.02232723204510889,-0.006247183873345885,0.012776980362994017,0.018844070006336366,-0.0040797894273224555
2020-05-20,0.01146450843058533,-0.011218196938503455,0.05753251765010381,0.034284216253942956,-0.011215287583193234,0.01839558803757102,0.03480016176919731,-0.029928912803630858,0.08063608518696275,0.044833893542856273
