method,baseline,n_paths_paired,mean_delta_utility,se_delta_utility,ci95_delta_utility_low,ci95_delta_utility_high,ci95_contains_zero
pg_loo,vanilla_pg,5000,-0.030637740930232815,0.0036417924615296054,-0.03777565415483084,-0.023499827705634788,0
actor_critic,vanilla_pg,5000,-0.06811365916924599,0.004463631714711239,-0.07686237733008001,-0.059364941008411956,0
belief_aware_actor_critic,vanilla_pg,5000,-0.05679545714941672,0.003858397726435203,-0.06435791669322972,-0.04923299760560373,0
hindsight_training,vanilla_pg,5000,-0.08513451557606626,0.003532179448233259,-0.09205758729460345,-0.07821144385752907,0
