method,n_paths,horizon,horizon_mode,action_mode,mean_terminal_wealth,std_terminal_wealth,mean_terminal_utility,std_terminal_utility,se_terminal_utility,ci95_terminal_utility_low,ci95_terminal_utility_high,ci95_terminal_wealth_low,ci95_terminal_wealth_high,checkpoint
vanilla_pg,5000,50,training,mean,1.1925464275311652,0.22879705231897748,-0.8699543614511853,0.17009164445614178,0.0024054591043621816,-0.8746690612957352,-0.8652396616066355,1.1862044968005236,1.1988883582618068,/content/drive/MyDrive/MIE1613/Final Project/vanilla_pg_outputs/vanilla_pg_policy_best.pt
pg_loo,5000,50,training,mean,1.1627895586455095,0.25601114704610756,-0.9005921023814182,0.1931019248012446,0.0027308736097426964,-0.9059446146565139,-0.8952395901063225,1.1556932916945921,1.1698858255964268,/content/drive/MyDrive/MIE1613/Final Project/pg_loo_outputs/pg_loo_policy_best.pt
actor_critic,5000,50,training,mean,1.1492156960383664,0.31392179318812935,-0.9380680206204314,0.2695266049313416,0.0038116818011427844,-0.9455389169506713,-0.9305971242901915,1.1405142278723241,1.1579171642044086,/content/drive/MyDrive/MIE1613/Final Project/actor_critic_outputs/actor_critic_policy_best.pt
belief_aware_actor_critic,5000,50,training,mean,1.1328678520504574,0.2528098989793201,-0.9267498186006021,0.207138552303982,0.0029293814995862005,-0.9324914063397911,-0.9210082308614131,1.1258603191688183,1.1398753849320964,/content/drive/MyDrive/MIE1613/Final Project/belief_aware_ac_outputs/belief_aware_actor_critic_policy_best.pt
hindsight_training,5000,50,training,mean,1.0874863015144822,0.21814047705346007,-0.9550888770272516,0.18427143096641832,0.002605991568306063,-0.9601966205011315,-0.9499811335533718,1.081439755979912,1.0935328470490524,/content/drive/MyDrive/MIE1613/Final Project/hindsight_outputs/hindsight_training_policy_best.pt
