iteration,loss,value_loss,train_avg_utility,train_std_utility,train_avg_wealth,gradient_norm,gradient_sq_norm,eval_avg_utility,eval_avg_wealth
1.0,-256.6958571530478,1.0336085833600739,-0.9643236487645441,0.18566417323755194,1.0758974410817952,9.999999345030933,99.99998690061908,,
2.0,-219.7831838506066,0.8631492426305708,-1.0130792042689016,0.3239426573861157,1.0439986296587977,9.999999267792852,99.99998535585758,,
3.0,-163.2172686566943,0.5440224522551749,-1.0120986517466768,0.2659837980177959,1.048407218202152,9.78578744590784,95.76163593648747,,
4.0,-106.25495119824484,0.3521465918656741,-0.997094754316177,0.23204577910771754,1.0566241831599634,6.407723384633132,41.05891897397428,,
5.0,-79.88795735537057,0.42956027338178715,-1.0315965039827484,0.4646212477266476,1.0469780887345963,8.531956724754881,72.79428555309005,,
6.0,-1.142657112055586,0.1396025628839477,-0.9476896410514508,0.18079085687404595,1.0935833622250057,6.6381892954917205,44.06555712278087,,
7.0,31.483685567552932,0.1806274801002103,-0.9508621182187593,0.22478875070541574,1.1220298273495186,7.346264888779025,53.9676078161075,,
8.0,34.58615454355666,0.19362328126202258,-0.9879548286155682,0.21465274676457247,1.058392134533825,7.480908651902698,55.96399425811265,,
9.0,61.923850395665546,0.26491740770359584,-0.9720348287047184,0.26126293203991163,1.0911229955072876,9.99999916704259,99.99998334085251,,
10.0,59.91778860778916,0.25686544380665105,-0.9731238974009648,0.19954078046221616,1.0797826300638254,8.245014605365615,67.98026584269229,,
11.0,71.51491946574619,0.2997672817258766,-0.9423953831452337,0.23107213110724623,1.1214620491158265,9.999999121231047,99.99998242462172,,
12.0,52.48221338742805,0.28317735919475484,-0.9880031032279759,0.2616304322075749,1.0778740943037153,7.978963945129432,63.66386563767543,,
13.0,34.402324324007466,0.20608793496559766,-0.9922794818196782,0.2101216430186935,1.0542147604802647,7.490420012806733,56.106391968255615,,
14.0,26.709518195514782,0.23353383601655778,-0.9780653790318976,0.2635436363123103,1.0984730213794551,7.07739182948421,50.089475108049854,,
15.0,27.859858169506055,0.167569886953535,-0.942944437047329,0.18327638158291637,1.1023822998865913,4.648282967366301,21.606534544707667,,
16.0,-2.2879020792270577,0.163708645850885,-0.9849373970605231,0.26190902007588557,1.0688085161252738,6.263171182919611,39.22731326655464,,
17.0,-13.366507202414727,0.1415766001952597,-0.9587324152673723,0.22802496600269276,1.1031352818245495,5.1237576296219185,26.25289224710882,,
18.0,-7.796350207282012,0.1166153893319867,-0.9098859754232655,0.2252231178080156,1.1826895182455655,5.835397602130739,34.05186517495318,,
19.0,-34.20093890933555,0.12108351100351004,-0.9497101410728643,0.2374779724055778,1.1197390302672994,4.339166643213681,18.82836715757828,,
20.0,-24.985412403343442,0.0859960041082304,-0.874452134196523,0.20709847339629375,1.2148445350631345,4.269607188830105,18.22954554690971,,
21.0,-59.190439522304075,0.11054550465463983,-0.9496219285270927,0.22621289967094907,1.1172417137125537,4.9647754655396525,24.64899542322447,,
22.0,-56.56027052018272,0.12383401655117147,-0.9115455009444817,0.23838098505981176,1.173150395229531,5.840379236829869,34.11002962999345,,
23.0,-69.94659019637314,0.13228636152288029,-0.9570064045331839,0.2308829609646683,1.1092509218626883,4.376963565062309,19.157810049882958,,
24.0,-80.5292707902817,0.15820538144143728,-0.994390138997704,0.2403602011855315,1.0708699253615794,6.853973410655639,46.97695151397449,,
25.0,-57.14227605578918,0.10701286281580219,-0.9229819707725855,0.2059625565195551,1.1394607406863844,4.442632057165394,19.73697959535362,-0.884753329657916,1.178196193284155
