iteration,per_component_var_mean,estimator_variance_l2,grad_mean_norm,grad_norm_mean,grad_norm_std,snr,loss_mean,utility_mean,utility_std_mean,wealth_mean,repeats
25.0,0.0007840358102860781,16.110712805514854,0.4514105011812969,3.9839944697339216,0.6683858977448431,0.012648195212504607,-1.5002056804494415,-0.8759344325273558,0.2342189576072802,1.23116095214546,100.0
50.0,0.0012351692243813843,25.380800697047405,0.48536494611719205,4.949566969827484,1.0627611451668233,0.009281784831427721,-1.7891583435440537,-0.8308227872681325,0.24724368939892014,1.3216317264692277,100.0
100.0,0.0027015720735541057,55.51309165910213,0.8884164747710896,7.294641750736753,1.766860258162422,0.014217976499878047,-5.981212934884846,-0.8497274146717578,0.18004046934116913,1.2391270319551568,100.0
150.0,0.003820941591724828,78.51438904106213,0.6359402987333592,8.769407938969946,1.4271160098611788,0.005150903783274262,-11.900822534127354,-0.8412852554544885,0.21630812049047168,1.2754801422591417,100.0
200.0,0.002062870064040526,42.38876173873291,0.8109705114092799,6.370059606386548,1.579149342734049,0.015515272053216815,-8.407859391892123,-0.8434809305662211,0.20611595451587095,1.2631743051146218,100.0
250.0,0.0026925368992173626,55.32743292135402,0.6772758801959671,7.237267518028232,1.8554028155149833,0.008290690416583242,-9.883147751204099,-0.8671419210363152,0.17414208297441547,1.2060905169472562,100.0
300.0,0.0035324623258806975,72.58659015561994,0.8333150094013982,8.357052401385731,1.8642514735336244,0.009566696870660044,-12.053861722764648,-0.8674441547125553,0.17535484976560867,1.2071676215726397,100.0
350.0,0.003351679119224812,68.87177728064391,1.081111077831225,8.212283437768413,1.6202566142335535,0.016970683910866334,-13.852025836132109,-0.8652143726096483,0.18428160461246013,1.215257110326935,100.0
400.0,0.0019633016452653388,40.3427860596361,0.8662979389393041,6.15989546966817,1.7834667130546322,0.018602387001758192,-10.092454793703181,-0.8922097698207859,0.15580014657242802,1.1592093432053787,100.0
450.0,0.0019115030166018266,39.27840504646164,0.5153054778370785,6.0773467006997235,1.623626649328229,0.006760451071646063,-12.96154592863079,-0.8793192416838344,0.18707228693667283,1.1949440655049441,100.0
500.0,0.003748334928698529,77.02243538226598,0.6077508609385815,8.618444038605139,1.7736052550316452,0.00479550026091009,-9.90296454432145,-0.8983168661394629,0.14617987503531818,1.1466529331734512,100.0
