iteration,loss,train_avg_utility,train_std_utility,train_avg_wealth,gradient_norm,gradient_sq_norm,eval_avg_utility,eval_avg_wealth
1.0,-1.1435751457722416,-1.0337644033965496,0.2873260691354933,1.0377013786410831,4.1869278765396984,17.530365043345228,,
2.0,-0.32759105278283673,-0.9875690502396544,0.25689183248153585,1.073473944797788,3.9751341062267205,15.801691162486907,,
3.0,-0.33475935743407215,-0.9689680369959272,0.25769013320699474,1.1130077683928603,5.120486498826744,26.219381984666967,,
4.0,-0.30220201648964906,-0.9134637359989908,0.22334120063307675,1.1584869949272578,3.2953643503905803,10.85942620182513,,
5.0,-0.10532181937608986,-0.9755729737918353,0.18182806255153472,1.0614720699801021,3.0181991000913277,9.109525807792101,,
6.0,-0.47418655023020784,-0.9661362964867224,0.19078537654587197,1.0798380818112077,3.5362371366399694,12.50497308655165,,
7.0,-0.9787307889965979,-1.0010203256828245,0.22740069556037962,1.0539089700896729,3.0998617547713483,9.609142898694103,,
8.0,-0.5111579281726844,-0.895627350165516,0.18939328154540666,1.1765526506569426,3.530321947475747,12.46317305282895,,
9.0,-0.4113892600019238,-0.8895829578021688,0.20165928180146514,1.1813839970709146,3.4864534244615513,12.155357480939678,,
10.0,-0.6686065197446807,-0.9347702203256482,0.21520084893844266,1.1300953025097622,3.3241534717307113,11.04999630361934,,
11.0,-1.0642065986447515,-0.9399611147413489,0.21121242548819547,1.1353119653285175,3.4154986195803048,11.665630820354966,,
12.0,-0.8464413594501008,-0.9116899160945224,0.2001772353918878,1.1532283007614883,3.519602361948409,12.38760078623282,,
13.0,-1.1557255407129112,-0.9124543809318362,0.2242521633651366,1.1698633164626195,3.1563473205160983,9.962528407729152,,
14.0,-1.0581886977944603,-0.909577843062357,0.21192405692003402,1.1664312530572338,3.4681377906597413,12.027979735002232,,
15.0,-0.5456863301856412,-0.8961470834713262,0.1809251443912909,1.1658192642560088,3.0792613916558733,9.481850718142466,,
16.0,-1.4406792156263668,-0.8891551202328495,0.20380536577637753,1.1871274749275187,2.6041667330827143,6.781684373694697,,
17.0,-1.1364071275624275,-0.905493787078338,0.2917544105414187,1.2127922885617606,5.32169665048141,28.320455239745066,,
18.0,-0.6736569589862638,-0.8533246586310165,0.198995807449291,1.2310600743914133,3.592750913916445,12.907859129447449,,
19.0,-1.6640128040977462,-0.8793409586041726,0.24553797712938943,1.2462371215836052,3.683591117260988,13.568843519164052,,
20.0,-1.078008453366568,-0.832067788425827,0.21621457920564113,1.2774350052898358,3.7125751642784524,13.783214350417179,,
21.0,-1.0738489623865717,-0.9132052875244668,0.24516793930424574,1.174306148454178,3.9514175822459827,15.613700909282688,,
22.0,-1.6380215023824176,-0.9438672422678505,0.24631758944993268,1.1304787196178299,3.7838385788813786,14.31743439103105,,
23.0,-2.0985026791307315,-0.8662983424332233,0.249959423407352,1.2616322637831736,5.3385124064410405,28.49971471372491,,
24.0,-2.2801727594294943,-0.8987343000915856,0.27434026350654633,1.2107574426649648,4.498694687255093,20.238253889137205,,
25.0,-1.0801015053124772,-0.8906094187058944,0.24898254336291112,1.2190285469015287,4.0856355107744395,16.692417526901117,-0.876356390232354,1.1801485971289902
26.0,-0.6639332736445562,-0.86397354385895,0.2034065526474914,1.2248208336935567,3.2186822357310647,10.359915334610724,,
27.0,-2.059848900274405,-0.9301260037723128,0.27439557610390014,1.1704272819074384,4.57847606186882,20.96244304910581,,
28.0,-1.4533812176711907,-0.8314883322467967,0.24111301454480963,1.3318389252497762,3.7070353734353625,13.742111259901057,,
29.0,-1.6324245545146883,-0.8463514464500915,0.22248500878279856,1.2672979663001325,4.70491254032257,22.13620201208458,,
30.0,0.15342659688704763,-0.9798974994536067,0.2429930189944164,1.087493090140165,4.034552382696318,16.277612928720533,,
31.0,-3.1482639022106778,-0.8738851967320531,0.30426114051020214,1.2750114509325365,4.758994363639009,22.64802735314786,,
32.0,-0.38158688534761565,-0.8700417880117367,0.25988994816525823,1.2540347000525327,5.796217120595892,33.59613290908893,,
33.0,-1.8579474508689022,-0.877950181879398,0.2232122510192852,1.2344761468550431,3.285887338574578,10.797055601804722,,
34.0,-0.8602453917303392,-0.8290988464285535,0.21914626140344418,1.2991472874419994,3.621533892422946,13.115507733968094,,
35.0,-2.3067124194776296,-0.8490707552780967,0.2421002565048573,1.2915956407040476,5.281835237250361,27.897783473459572,,
36.0,-0.46851732009845193,-0.82652883595813,0.16921714974360225,1.264932307572804,3.051122012206986,9.309345533374007,,
37.0,-3.173708648902977,-0.9017165578753072,0.34854126548554853,1.2409682773378814,6.71914790583686,45.14694858051187,,
38.0,-1.9889828113534316,-0.7991293151202692,0.22842150283000406,1.3579128237820899,4.01123054515592,16.08997048639186,,
