iteration,loss,meta_value_loss,train_avg_utility,train_std_utility,train_avg_wealth,gradient_norm,gradient_sq_norm,eval_avg_utility,eval_avg_wealth
1.0,-280.43053863834484,1.6940302288533609,-0.9322404944514774,0.14509250857510392,1.0979918218366755,9.99999924944055,99.99998498881158,,
2.0,-368.74297176509054,2.918864599628362,-1.0839669587128045,0.1918204890811491,0.9517894329187122,9.999999555854004,99.99999111708026,,
3.0,-158.46895240788749,0.5879127692584161,-0.906002316460095,0.11247469514154176,1.1219563697846495,8.253817390822794,68.1255015210488,,
4.0,67.75908691597759,0.4178627231427362,-0.9646757516272144,0.1408745388957556,1.0562675498846472,7.369376404155984,54.307708586130985,,
5.0,-46.09187885889243,0.2314724946880682,-1.0189553161157305,0.10480878404693872,0.9919897169620946,4.357328735163111,18.986313706278153,,
6.0,274.1163065618528,2.1000890511226062,-0.9086671371067718,0.13782444847625774,1.1261130187649206,9.999999383296647,99.99998766593333,,
7.0,139.93526954001965,1.1205482480083457,-0.8647360655897698,0.3458299889601251,1.3089840195081506,9.999999405717428,99.99998811434894,,
8.0,41.393002899560166,0.20552110146477526,-1.03485570453767,0.07764618432280376,0.9718136325680946,4.502202015400475,20.2698229874761,,
9.0,-25.99779278150347,0.2622901652040974,-1.0526944305721528,0.14005687458422653,0.9667265998031844,5.737740507367696,32.92166612988811,,
10.0,46.645583131886895,0.19358024292257087,-1.0079471901939812,0.10967728178938856,1.0052704040097074,5.222609380443019,27.275648740691416,,
11.0,-39.05357371748903,0.2968920619841767,-0.8873272087459968,0.11748967866258664,1.1460346630022944,6.8227917545523,46.55048732598685,,
12.0,128.6462574073995,0.6587916465073569,-0.9634590014488567,0.12166870918212641,1.0542902118127728,6.940445873277567,48.16978891989561,,
13.0,-197.3091521995757,1.161375317856191,-1.0720007757520824,0.128978757685929,0.9462862269650825,9.791050392747708,95.86466779332504,,
14.0,-89.17220666165652,0.2695981708884454,-0.9409725854361326,0.09770282199202415,1.0736034857359658,6.369534812233513,40.57097372425462,,
15.0,-47.47907304060569,0.296554139425268,-0.9120500172711933,0.13670880242577077,1.1194381470681851,6.294869442499562,39.625381298114746,,
16.0,-13.440802186997807,0.13136457940268093,-0.9569959960061969,0.1250637780424304,1.063361719348103,3.8853224690419514,15.095730688442245,,
17.0,-91.06467954776298,0.3183360782367597,-0.9992148424522047,0.10811994201193302,1.0133140233704134,6.586855423881828,43.38666437512146,,
18.0,23.535721417143336,0.12103342714765788,-0.8744023756269145,0.09557330097128039,1.1568113487281997,3.747797847665759,14.045988706968098,,
19.0,-58.2368841286056,0.1657756172595785,-1.0349361281699823,0.10257521532828483,0.9756391935832502,4.585365027749349,21.025572437706785,,
20.0,54.1407504195816,0.20961813013519254,-0.998972412697632,0.16818258122502355,1.0298294334652875,4.542976782812646,20.638638049174745,,
21.0,85.2308492998866,0.4334601276748932,-0.8472148795493627,0.09317144938824067,1.1941544699713589,9.570390649593882,91.59237718583401,,
22.0,116.40874242592112,0.5296017727339374,-0.9241384875352343,0.1043948601399864,1.0956799512969264,9.999999042845067,99.99998085690227,,
23.0,12.506025386923211,0.0981880195489558,-1.052471758070939,0.107021209053185,0.9596396960168956,4.141847463575048,17.15490041152306,,
24.0,-33.2029105177117,0.13602557155262968,-1.0334165968576858,0.11898280756220887,0.9801167126544912,3.2589382851858306,10.620678746649963,,
25.0,153.03740481781952,1.1979665412996212,-1.0375164123148815,0.26613872553419626,1.0323500074855354,9.999999412696676,99.99998825393386,-1.0477289209082112,0.963516716818424
26.0,112.85971727412284,0.6378190998117139,-0.9325016376654146,0.11267384467159974,1.0862600876118371,9.999999044599797,99.99998089199686,,
27.0,-118.72205575988927,0.48723190447925924,-0.9913181336596117,0.05682887595287919,1.0122814596838723,9.999999023941804,99.99998047883705,,
28.0,-113.33747400161239,0.43801810315324874,-1.0236090847985673,0.08499629475914844,0.9832845396696358,9.496746559450488,90.18819521443469,,
29.0,-147.01439203213477,0.8244116756466391,-1.0243444968095348,0.09246632595515128,0.9840426753563536,9.999999399259929,99.99998798519894,,
30.0,-121.88612345745952,0.6650759211101303,-1.0683669014638062,0.11652618635865847,0.9480672798273051,9.09854653811887,82.78354910631487,,
31.0,-95.52082721587536,0.9750058976636089,-1.2119214575422963,0.5319948745025856,0.9067714748799207,9.99999921221233,99.99998424424722,,
32.0,-150.38200295784785,0.9664690204484403,-1.0527157858981502,0.09371650761178289,0.9568165144461607,9.999999000944321,99.99998001888741,,
33.0,13.675613143232153,0.08823036498289458,-0.955370281214651,0.10006842331704748,1.0581632072054936,3.752098961534716,14.078246617149894,,
34.0,-16.546268261744785,0.05044956683513516,-0.9565533914109396,0.07632089293086342,1.0522108546590878,2.776671386500551,7.7099039886108915,,
35.0,42.386485204386396,0.191845978899444,-0.9612532374463818,0.08295870115499633,1.0480247643970442,6.317312336185929,39.90843515292692,,
