iteration,per_component_var_mean,estimator_variance_l2,grad_mean_norm,grad_norm_mean,grad_norm_std,snr,loss_mean,utility_mean,utility_std_mean,wealth_mean,repeats
25.0,0.0027915849189881757,57.362715212733384,0.7268257358157014,7.226488702954765,2.3929297982257935,0.009209390599536493,-73.95762835864384,-0.9942145479581519,0.24349127251648148,1.053073042215327,100.0
50.0,0.0029369132432394236,60.34898556391071,0.9394760370242189,7.407325874304303,2.5352313822471393,0.0146251874144268,-94.48700321468986,-0.9772026804242671,0.23602057286772737,1.0708834426353058,100.0
100.0,0.0016069047197843855,33.01938522020625,0.63196363118079,5.263863984298923,2.401703773637621,0.012095259450524528,1.7414391371473101,-0.9421510291381678,0.09211858343710533,1.0843410372236721,100.0
150.0,0.0011037738695220583,22.680831131441842,0.3924115927574253,4.390623433736664,1.895567358017792,0.006789295208717086,-14.132997071812676,-0.9164104299491866,0.09403766575843903,1.1304334563743632,100.0
200.0,0.0013598242471330407,27.942266952758462,0.6560776136119609,4.7418990665299905,2.4385577022815754,0.015404542366247512,-0.7774121343198245,-0.8743143105301837,0.0898785671382804,1.2288649479400515,100.0
250.0,0.001197106551390815,24.598672144861084,0.36099294226436385,4.504285335399894,2.117841875262023,0.0052976804437757695,-2.224363186705159,-0.904049103032074,0.06567697287898727,1.1381039016541412,100.0
300.0,0.002239998765992514,46.02848024307123,0.5127761186045084,6.25267971337335,2.6959408306705215,0.005712535943453961,-44.29710634454296,-0.8992717563382137,0.05788588462691819,1.1456012383268601,100.0
350.0,0.0018421619572283681,37.85355444838968,0.7438175365885433,5.62313210020427,2.618351003890502,0.014615920111042183,30.649917996316635,-0.8688754151880598,0.07242610845075942,1.2254598786072968,100.0
400.0,0.002187804003412986,44.95595929589153,1.1121172944048294,6.347258299179206,2.442278340160001,0.027511477808178995,2.122387446831184,-0.8371686189102894,0.0658419236132459,1.3049355144606551,100.0
450.0,0.00341023344661333,70.0749773637272,0.6032382225518561,8.049695704080829,2.387101870888068,0.005192957127316687,18.497064847423175,-0.8574155274801055,0.056388918054451696,1.2545762255349795,100.0
500.0,0.00385359688541047,79.18540438404392,0.6557531546878904,8.659107778291897,2.1638137552772654,0.005430447735009218,-104.99714617814966,-0.8566965551729459,0.055200191907393836,1.2598556527463132,100.0
