method,t,asset_idx,asset,avg_concentration
actor_critic,12,8,JPM,0.025957238086187925
actor_critic,12,9,XOM,0.07333917871259713
actor_critic,13,0,AAPL,0.1788482402049104
actor_critic,13,1,MSFT,0.10642577393857883
actor_critic,13,2,DIS,0.04465158533837031
actor_critic,13,3,CMCSA,0.2073626420984722
actor_critic,13,4,AMZN,0.22781179488449943
actor_critic,13,5,HD,0.026106752552582616
actor_critic,13,6,KO,0.07975563911958998
actor_critic,13,7,JNJ,0.030050885717259126
actor_critic,13,8,JPM,0.02588771801256577
actor_critic,13,9,XOM,0.07309896813317139
actor_critic,14,0,AAPL,0.17926736659797998
actor_critic,14,1,MSFT,0.10634044723640675
actor_critic,14,2,DIS,0.04458159590339878
actor_critic,14,3,CMCSA,0.20706036349680781
actor_critic,14,4,AMZN,0.22852119747690677
actor_critic,14,5,HD,0.026079008958532598
actor_critic,14,6,KO,0.07946751757872568
actor_critic,14,7,JNJ,0.029970682719660958
actor_critic,14,8,JPM,0.02583115274484248
actor_critic,14,9,XOM,0.07288066728673823
actor_critic,15,0,AAPL,0.1796468829862573
actor_critic,15,1,MSFT,0.10619624974997391
actor_critic,15,2,DIS,0.04449043428704994
actor_critic,15,3,CMCSA,0.20683004807288535
actor_critic,15,4,AMZN,0.2292627521797705
actor_critic,15,5,HD,0.026051332867092675
actor_critic,15,6,KO,0.07919256928087924
actor_critic,15,7,JNJ,0.0298790908449207
actor_critic,15,8,JPM,0.02575161004069031
actor_critic,15,9,XOM,0.07269902969048005
actor_critic,16,0,AAPL,0.18013014749114856
actor_critic,16,1,MSFT,0.10596550094325258
actor_critic,16,2,DIS,0.0444134592830337
actor_critic,16,3,CMCSA,0.20647086780231166
actor_critic,16,4,AMZN,0.2300417371822231
actor_critic,16,5,HD,0.02601732857698176
actor_critic,16,6,KO,0.07895933909928587
actor_critic,16,7,JNJ,0.029817748813899852
actor_critic,16,8,JPM,0.025706723209369647
actor_critic,16,9,XOM,0.07247714759849327
actor_critic,17,0,AAPL,0.18047260336318835
actor_critic,17,1,MSFT,0.10583968067730193
actor_critic,17,2,DIS,0.044314044720529924
actor_critic,17,3,CMCSA,0.20603631567784492
actor_critic,17,4,AMZN,0.23096263464136185
actor_critic,17,5,HD,0.025979989670342925
actor_critic,17,6,KO,0.07870183696710294
actor_critic,17,7,JNJ,0.02975057353468145
actor_critic,17,8,JPM,0.025647352080816022
actor_critic,17,9,XOM,0.07229496866682952
actor_critic,18,0,AAPL,0.18092695692648655
