method,baseline,n_paths_paired,mean_delta_utility,se_delta_utility,ci95_delta_utility_low,ci95_delta_utility_high,ci95_contains_zero
pg_loo,vanilla_pg,5000,0.03193463084047778,0.004628074692911749,0.022863604442370754,0.04100565723858481,0
actor_critic,vanilla_pg,5000,0.04751204919733171,0.004844843288616656,0.03801615635164306,0.05700794204302036,0
belief_aware_actor_critic,vanilla_pg,5000,0.009371579158010806,0.0045470709803818975,0.0004593200364622872,0.018283838279559324,0
hindsight_training,vanilla_pg,5000,-0.01111851695043604,0.004089308166070606,-0.01913356095593443,-0.0031034729449376536,0
