index,method,t,avg_exposure_hhi,std_exposure_hhi
0,actor_critic,0,0.0,0.0
1,actor_critic,1,0.1517095373073549,0.0027863220237230265
2,actor_critic,2,0.1522947494786333,0.004108098325511502
3,actor_critic,3,0.1528454634729811,0.005209069202559822
4,actor_critic,4,0.1533746905732539,0.006066052108815455
5,actor_critic,5,0.15397596906821584,0.0069608037200810215
6,actor_critic,6,0.1544940682006889,0.007667525738762476
7,actor_critic,7,0.1550705634516468,0.00841592528486983
8,actor_critic,8,0.15561847182893565,0.009216699118351553
9,actor_critic,9,0.15621294391800755,0.009799744281509558
10,actor_critic,10,0.1566291041199684,0.010356513983013203
11,actor_critic,11,0.1572034395274951,0.011115947678608566
12,actor_critic,12,0.15768326814632772,0.011633429765899424
13,actor_critic,13,0.15829821065432884,0.012489739560388336
14,actor_critic,14,0.15884649429359182,0.013079651424643662
15,actor_critic,15,0.15945617030614329,0.013717740278409045
16,actor_critic,16,0.16006563325497955,0.014491689582251102
17,actor_critic,17,0.16066343070806308,0.015035366934824752
18,actor_critic,18,0.16116993707931024,0.015493643411405553
19,actor_critic,19,0.16173686799621342,0.016100538847924707
20,actor_critic,20,0.16226199984327735,0.01644395534605214
21,actor_critic,21,0.16281016548237418,0.016992820675273888
22,actor_critic,22,0.163413049185112,0.01783391714464224
23,actor_critic,23,0.1638698633098639,0.018275647297815424
24,actor_critic,24,0.16458749785961382,0.01900007353166977
25,actor_critic,25,0.1652703525000265,0.01982041327944927
26,actor_critic,26,0.1658537205294581,0.02051739728516212
27,actor_critic,27,0.16654286570028648,0.02117346338006185
28,actor_critic,28,0.16701857758529928,0.02174934794010784
29,actor_critic,29,0.1676696743740414,0.0225973879973072
30,actor_critic,30,0.16837671534647206,0.023383076732129433
31,actor_critic,31,0.16895947744371712,0.023965308512958586
32,actor_critic,32,0.169644267755782,0.024629037015088447
33,actor_critic,33,0.17027320572714646,0.025325315154154395
34,actor_critic,34,0.17091953680275349,0.02585513715050397
35,actor_critic,35,0.17152173712938013,0.026478501428220804
36,actor_critic,36,0.17216926080118772,0.027260812975690447
37,actor_critic,37,0.17284239708816532,0.027882267327141802
38,actor_critic,38,0.17362731978354592,0.028495598150287356
39,actor_critic,39,0.1742825591136126,0.0293131277762136
40,actor_critic,40,0.17489057481389092,0.02986881754073822
41,actor_critic,41,0.17544372743759729,0.03038353438789923
42,actor_critic,42,0.17600887692596898,0.03079243395691788
43,actor_critic,43,0.17660392076126571,0.03126655656006764
44,actor_critic,44,0.1772531793212652,0.031653117175578165
45,actor_critic,45,0.17804553198368986,0.03272656259937681
46,actor_critic,46,0.17867968218563943,0.033559018448907615
47,actor_critic,47,0.17931054931401663,0.03406313127431985
48,actor_critic,48,0.179953403351325,0.03459877046366585
49,actor_critic,49,0.180601360183712,0.03518049103540875
50,actor_critic,50,0.18144712648061131,0.03600519440944403
51,belief_aware_actor_critic,0,0.0,0.0
52,belief_aware_actor_critic,1,0.14447122546159188,0.0015779683037574707
53,belief_aware_actor_critic,2,0.14454013537062116,0.002230081186277436
54,belief_aware_actor_critic,3,0.1446559785045525,0.0026271121986453073
55,belief_aware_actor_critic,4,0.14487339187354314,0.003127617892195558
56,belief_aware_actor_critic,5,0.14504874699710818,0.0035161658149769908
57,belief_aware_actor_critic,6,0.14528541416778099,0.003923276632141266
58,belief_aware_actor_critic,7,0.14553306618936573,0.004367547125637769
59,belief_aware_actor_critic,8,0.1458203689968259,0.004667465992519775
60,belief_aware_actor_critic,9,0.14610060529297036,0.005119341196747034
61,belief_aware_actor_critic,10,0.14642106007865183,0.005717089950596724
62,belief_aware_actor_critic,11,0.14672962436968437,0.0061219753472429896
63,belief_aware_actor_critic,12,0.14707661574453162,0.006588498473628071
64,belief_aware_actor_critic,13,0.14744017328191467,0.006912631872588377
65,belief_aware_actor_critic,14,0.14772926229782563,0.007256491454736032
66,belief_aware_actor_critic,15,0.1480941739483861,0.007752765358161924
67,belief_aware_actor_critic,16,0.14849869875421076,0.008207561010376908
68,belief_aware_actor_critic,17,0.14889678058177302,0.008640466309960416
69,belief_aware_actor_critic,18,0.14929366252182585,0.009024777694821805
70,belief_aware_actor_critic,19,0.1497199578858131,0.009569606326086505
71,belief_aware_actor_critic,20,0.15006827691877267,0.00993747974371232
72,belief_aware_actor_critic,21,0.1504402749871817,0.010371522307363934
73,belief_aware_actor_critic,22,0.15078663866122166,0.01083289223175119
74,belief_aware_actor_critic,23,0.15125082372418464,0.01136001413009904
75,belief_aware_actor_critic,24,0.15158380964775722,0.011606500966817292
76,belief_aware_actor_critic,25,0.15202233122689252,0.012252693776812653
77,belief_aware_actor_critic,26,0.15238957006836523,0.012625850307244658
78,belief_aware_actor_critic,27,0.15279934017976785,0.013116679675763002
79,belief_aware_actor_critic,28,0.15323301822099328,0.013488740073814858
80,belief_aware_actor_critic,29,0.1535751120495894,0.013859586019439995
81,belief_aware_actor_critic,30,0.15393422314660837,0.014222042115911186
82,belief_aware_actor_critic,31,0.15436715730061124,0.014744876874544267
83,belief_aware_actor_critic,32,0.15473619145891834,0.015168441915099739
84,belief_aware_actor_critic,33,0.1551240446045407,0.015596448536268771
85,belief_aware_actor_critic,34,0.1555391264508728,0.016019112774155905
86,belief_aware_actor_critic,35,0.15595574070271395,0.016327460140663625
87,belief_aware_actor_critic,36,0.15640602921420124,0.016775747043031874
88,belief_aware_actor_critic,37,0.15680007073890662,0.01713667462340237
89,belief_aware_actor_critic,38,0.15727908547073494,0.017731041721811548
90,belief_aware_actor_critic,39,0.15775227597802546,0.018011130029506904
91,belief_aware_actor_critic,40,0.15817452514955954,0.018543006236649288
92,belief_aware_actor_critic,41,0.15862159705000597,0.01913092683723033
93,belief_aware_actor_critic,42,0.1590926102735814,0.019640813797509246
94,belief_aware_actor_critic,43,0.15956919518977433,0.02018354826977514
95,belief_aware_actor_critic,44,0.16007035753474536,0.020607049465712443
96,belief_aware_actor_critic,45,0.16058305115759255,0.021195897560695814
97,belief_aware_actor_critic,46,0.16113696937901162,0.021853761508133968
98,belief_aware_actor_critic,47,0.16163949069528694,0.022405625082281107
99,belief_aware_actor_critic,48,0.16214425457720238,0.022810144116418844
100,belief_aware_actor_critic,49,0.16259930570657066,0.023293139398118383
101,belief_aware_actor_critic,50,0.1630543710565841,0.023824688485289475
102,hindsight_training,0,0.0,0.0
103,hindsight_training,1,0.10774133327706388,0.00034891964327247115
104,hindsight_training,2,0.10791421371033473,0.0005188955841417927
105,hindsight_training,3,0.10809590864331449,0.0006836100344845959
106,hindsight_training,4,0.10826218679601307,0.0008542027202142759
107,hindsight_training,5,0.10842762081528066,0.0009806629374887474
108,hindsight_training,6,0.10861597029379377,0.0011935006347403852
109,hindsight_training,7,0.10879382360129973,0.0013432789918484435
110,hindsight_training,8,0.10895837872459672,0.0014371192803965345
111,hindsight_training,9,0.10914277128733449,0.0016326297550077235
112,hindsight_training,10,0.10932059393134702,0.0017913013376495244
113,hindsight_training,11,0.10948400849234018,0.00187171365993564
114,hindsight_training,12,0.10963304469755113,0.001975124075966516
115,hindsight_training,13,0.10982038958685784,0.002134288654041304
116,hindsight_training,14,0.10999525737673917,0.0022281012454403513
117,hindsight_training,15,0.11016700517897789,0.002388704624495138
118,hindsight_training,16,0.11035899307538391,0.00264494981998963
119,hindsight_training,17,0.11054459266148527,0.0027936946840932475
120,hindsight_training,18,0.11070303451376354,0.002891811877896141
121,hindsight_training,19,0.11086687003581223,0.003017812593048671
122,hindsight_training,20,0.11105178014623492,0.0032088307137496884
123,hindsight_training,21,0.11122179548950578,0.0033741851090500715
124,hindsight_training,22,0.11139820362841103,0.003456444127890298
125,hindsight_training,23,0.11160854580760077,0.0037381373409534195
126,hindsight_training,24,0.11178327922554081,0.003984868669014043
127,hindsight_training,25,0.1119314692885551,0.004081597834973848
128,hindsight_training,26,0.11210465885003962,0.004203593671317595
129,hindsight_training,27,0.11228939289925724,0.0045397688751455815
130,hindsight_training,28,0.11247610843961461,0.004665626407163047
131,hindsight_training,29,0.11269082674289646,0.0048826522189223676
132,hindsight_training,30,0.11289017118371897,0.005080786587003889
133,hindsight_training,31,0.11308047033778182,0.005280162500471237
134,hindsight_training,32,0.11326127357233838,0.005402809329757423
135,hindsight_training,33,0.1134437456034729,0.0055372186912855574
136,hindsight_training,34,0.1136442966276251,0.005846701961904055
137,hindsight_training,35,0.11382905861885345,0.006008570978413788
138,hindsight_training,36,0.11401210506605192,0.0061083207095308295
139,hindsight_training,37,0.11420733515088854,0.00645349391899782
140,hindsight_training,38,0.11442624304211128,0.006975149305120608
141,hindsight_training,39,0.11466827069293024,0.008000593629131665
142,hindsight_training,40,0.11486018711124829,0.008271563404384482
143,hindsight_training,41,0.1150419612792838,0.008267112012407127
144,hindsight_training,42,0.11520330650096298,0.008529884895786821
145,hindsight_training,43,0.11538432214169136,0.008887873933352672
146,hindsight_training,44,0.11563100957795266,0.009149115077151167
147,hindsight_training,45,0.11588738193176648,0.009947288599480146
148,hindsight_training,46,0.11610892255197748,0.010114627636241163
149,hindsight_training,47,0.1163032757319198,0.01077869363683669
150,hindsight_training,48,0.11653495129079974,0.011139058226933812
151,hindsight_training,49,0.11678570693424783,0.011497565652746353
152,hindsight_training,50,0.1170478136523327,0.01177686856787624
153,pg_loo,0,0.0,0.0
154,pg_loo,1,0.1402035502707566,0.0028555157900831784
