method,mean_snr,mean_grad_norm_std,mean_estimator_variance_l2,n_gradient_checkpoints
vanilla_pg,0.009827071180946183,0.00823831878035808,99.01124672289951,11.0
pg_loo,0.011072776537520446,1.5477165613059987,51.93974388976736,11.0
actor_critic,0.0111384180225284,1.2451243660852596,32.3669028828371,11.0
belief_aware_actor_critic,0.01245545012449471,1.1121318637986446,23.399493014027936,11.0
hindsight_training,0.0110804267462026,2.371756153687118,45.822839269185025,11.0
