method,n_paths,action_mode,eval_seed_base,mean_terminal_wealth,std_terminal_wealth,mean_terminal_utility,std_terminal_utility,se_terminal_utility,checkpoint,mean_snr,mean_grad_norm_std,mean_estimator_variance_l2,n_gradient_checkpoints
vanilla_pg,5000,mean,16130,1.2663597829119146,0.34250939937467256,-0.8441835302919695,0.21896975248356412,0.0030966999371173608,/content/drive/MyDrive/MIE1613/Final Project/vanilla_pg_outputs/vanilla_pg_policy_best.pt,0.009827071180946183,0.00823831878035808,99.01124672289951,11.0
pg_loo,5000,mean,16130,1.3533668764554811,0.4518738461694868,-0.8122488994514917,0.2435197011392075,0.003443888640561101,/content/drive/MyDrive/MIE1613/Final Project/pg_loo_outputs/pg_loo_policy_best.pt,0.011072776537520446,1.5477165613059987,51.93974388976736,11.0
actor_critic,5000,mean,16130,1.3988985467771333,0.4873725619604141,-0.7966714810946378,0.2652542350399379,0.003751261366703808,/content/drive/MyDrive/MIE1613/Final Project/actor_critic_outputs/actor_critic_policy_best.pt,0.0111384180225284,1.2451243660852596,32.3669028828371,11.0
belief_aware_actor_critic,5000,mean,16130,1.297843803899749,0.38854126141245443,-0.8348119511339588,0.23490035036334467,0.003321992612900338,/content/drive/MyDrive/MIE1613/Final Project/belief_aware_ac_outputs/belief_aware_actor_critic_policy_best.pt,0.01245545012449471,1.1121318637986446,23.399493014027936,11.0
hindsight_training,5000,mean,16130,1.2329141923440416,0.3064279928140008,-0.8553020472424055,0.1909838273229606,0.0027009191879405216,/content/drive/MyDrive/MIE1613/Final Project/hindsight_outputs/hindsight_training_policy_best.pt,0.0110804267462026,2.371756153687118,45.822839269185025,11.0
