Ticker,mean,std,min,q01,q05,median,q95,q99,max,skew,kurtosis
AAPL,0.00693641202109046,0.05758962815516056,-0.5065874863119805,-0.13933093827031937,-0.0793693190287239,0.007539037205830823,0.09838382575293925,0.16590361872914514,0.3973920249208285,-0.25747332666076844,8.239057819382651
MSFT,0.002831233315083648,0.04015167781826262,-0.19034852546916892,-0.10027584912155231,-0.06009531850414673,0.0016957084275344148,0.0663538873994638,0.11864872611929576,0.22769640479360853,0.1574599622812394,3.5290862489554433
DIS,0.002189508013993267,0.0387668198557701,-0.2421543162268628,-0.09310892070118368,-0.0561572242836923,0.001226969850631976,0.06617646501311936,0.11111592010387855,0.17741944638083984,-0.057514697024039156,3.5781934602184364
CMCSA,0.0033416033174362572,0.044343624787089954,-0.1661237414332386,-0.11005234815607343,-0.06545465815761708,0.0017128928583705072,0.07321558268078543,0.1470159307520309,0.2324093378689831,0.5441134473539174,3.308554752892017
AMZN,0.009101756868455478,0.0820969936648731,-0.3196721132068785,-0.18389109186882718,-0.10493441104900003,0.0037415486655563157,0.13295712501418544,0.2754891521379895,0.7526881551971047,1.501326889734876,10.594482312078867
HD,0.003320212799659838,0.04331617616877946,-0.28886168910648713,-0.10943814753063452,-0.06313798468144494,0.0037414006198934757,0.06649940072277039,0.1133828198003025,0.27444623775744437,-0.06904216592596117,5.9645163435228
KO,0.0008749258719433005,0.02974217750825477,-0.2105763697752906,-0.08615264715708568,-0.044557525400139575,0.0013147951280498837,0.04782167211637356,0.08176587797448179,0.1102257636122177,-0.5343277342912739,4.559656444515156
JNJ,0.0016977433820771252,0.02692373019170092,-0.17128715892829516,-0.06479243594274721,-0.037342028290998086,0.0015419965531842106,0.0428422152560084,0.07736454849498334,0.18542419161685375,0.2610784115402114,5.945505795823309
JPM,0.0025631014703585415,0.0512606209521866,-0.34087616742790916,-0.11541665002006178,-0.0741345736662361,0.0021246494639071134,0.07594638219949013,0.1470205069867473,0.49089764877678244,0.9013011562843494,13.725338473202552
XOM,0.0011828971537962364,0.02957099380828595,-0.1998973741727481,-0.07054493973683498,-0.04673721340388004,0.0008332994249131698,0.04978182099369732,0.07095042133748002,0.1026548672566372,-0.3762576845925301,2.492507452231391
